date,signal,price,cash,position,position_value,total_value,daily_pnl
2023-06-20,0.0,4.374000072479248,1.421602099086158,240389,1051461.503423214,1051462.9250253132,1923.0872406959534
2023-06-21,0.0,4.355999946594238,1.421602099086158,240389,1047134.4711618423,1047135.8927639414,-4327.032261371729
2023-06-26,0.0,4.354000091552734,1.421602099086158,240389,1046653.7280082703,1046655.1496103693,-480.7431535720825
2023-06-27,0.0,4.349999904632568,1.421602099086158,240389,1045692.1270747185,1045693.5486768176,-961.6009335517883
2023-06-28,0.0,4.335000038146973,1.421602099086158,240389,1042086.3241701126,1042087.7457722117,-3605.8029046058655
2023-06-29,0.0,4.3429999351501465,1.421602099086158,240389,1044009.4114108086,1044010.8330129076,1923.0872406959534
2023-06-30,0.0,4.348999977111816,1.421602099086158,240389,1045451.7554979324,1045453.1771000315,1442.3440871238708
2023-07-03,0.0,4.357999801635742,1.421602099086158,240389,1047615.2143154144,1047616.6359175135,2163.4588174819946
2023-07-04,0.0,4.363999843597412,1.421602099086158,240389,1049057.5584025383,1049058.9800046375,1442.3440871239873
2023-07-05,0.0,4.367000102996826,1.421602099086158,240389,1049778.787759304,1049780.2093614032,721.2293567657471
2023-07-06,0.0,4.364999771118164,1.421602099086158,240389,1049297.9299793243,1049299.3515814235,-480.8577799797058
2023-07-07,0.0,4.359000205993652,1.421602099086158,240389,1047855.7005186081,1047857.1221207072,-1442.229460716364
2023-07-10,0.0,4.369999885559082,1.421602099086158,240389,1050499.9024896622,1050501.3240917614,2644.2019710541936
2023-07-11,0.0,4.374000072479248,1.421602099086158,240389,1051461.503423214,1051462.9250253132,961.6009335517883
2023-07-12,0.0,4.370999813079834,1.421602099086158,240389,1050740.2740664482,1050741.6956685474,-721.2293567657471
2023-07-13,0.0,4.4079999923706055,1.421602099086158,240389,1059634.7101659775,1059636.1317680767,8894.436099529266
2023-07-14,-1.0,4.388000011444092,1053773.5294183819,0,0.0,1053773.5294183819,-5862.602349694818
2023-07-17,0.0,4.406000137329102,1053773.5294183819,0,0.0,1053773.5294183819,0.0
2023-07-18,0.0,4.421999931335449,1053773.5294183819,0,0.0,1053773.5294183819,0.0
2023-07-19,0.0,4.4730000495910645,1053773.5294183819,0,0.0,1053773.5294183819,0.0
2023-07-20,0.0,4.46999979019165,1053773.5294183819,0,0.0,1053773.5294183819,0.0
2023-07-21,0.0,4.453000068664551,1053773.5294183819,0,0.0,1053773.5294183819,0.0
2023-07-24,0.0,4.441999912261963,1053773.5294183819,0,0.0,1053773.5294183819,0.0
2023-07-25,0.0,4.420000076293945,1053773.5294183819,0,0.0,1053773.5294183819,0.0
2023-07-26,0.0,4.439000129699707,1053773.5294183819,0,0.0,1053773.5294183819,0.0
2023-07-27,0.0,4.447999954223633,1053773.5294183819,0,0.0,1053773.5294183819,0.0
2023-07-28,0.0,4.4039998054504395,1053773.5294183819,0,0.0,1053773.5294183819,0.0
2023-07-31,0.0,4.408999919891357,1053773.5294183819,0,0.0,1053773.5294183819,0.0
2023-08-01,0.0,4.426000118255615,1053773.5294183819,0,0.0,1053773.5294183819,0.0
2023-08-02,0.0,4.425000190734863,1053773.5294183819,0,0.0,1053773.5294183819,0.0
2023-08-03,0.0,4.406000137329102,1053773.5294183819,0,0.0,1053773.5294183819,0.0
2023-08-04,0.0,4.401000022888184,1053773.5294183819,0,0.0,1053773.5294183819,0.0
2023-08-07,0.0,4.409999847412109,1053773.5294183819,0,0.0,1053773.5294183819,0.0
2023-08-08,0.0,4.414000034332275,1053773.5294183819,0,0.0,1053773.5294183819,0.0
2023-08-09,0.0,4.410999774932861,1053773.5294183819,0,0.0,1053773.5294183819,0.0
2023-08-10,0.0,4.395999908447266,1053773.5294183819,0,0.0,1053773.5294183819,0.0
2023-08-11,1.0,4.414999961853027,3.806508280104026,238441,1052717.0059041977,1052720.8124124778,-1052.7170059040654
2023-08-14,0.0,4.421000003814697,3.806508280104026,238441,1054147.6619095802,1054151.4684178603,1430.6560053825378
2023-08-15,0.0,4.431000232696533,3.806508280104026,238441,1056532.126484394,1056535.9329926742,2384.464574813843
2023-08-16,0.0,4.433000087738037,3.806508280104026,238441,1057008.9739203453,1057012.7804286254,476.8474359512329
2023-08-17,0.0,4.428999900817871,3.806508280104026,238441,1056055.165350914,1056058.971859194,-953.8085694313049
2023-08-18,0.0,4.421000003814697,3.806508280104026,238441,1054147.6619095802,1054151.4684178603,-1907.5034413337708
2023-08-21,1.0,4.438000202178955,3.806508280104026,238441,1058201.2062077522,1058205.0127160323,4053.544298171997
2023-08-22,0.0,4.431000232696533,3.806508280104026,238441,1056532.126484394,1056535.9329926742,-1669.0797233581543
2023-08-23,0.0,4.452000141143799,3.806508280104026,238441,1061539.3656544685,1061543.1721627486,5007.239170074463
2023-08-24,0.0,4.464000225067139,3.806508280104026,238441,1064400.6776652336,1064404.4841735137,2861.3120107650757
2023-08-25,0.0,4.447999954223633,3.806508280104026,238441,1060585.5570850372,1060589.3635933173,-3815.1205801963806
2023-08-28,0.0,4.449999809265137,3.806508280104026,238441,1061062.4045209885,1061066.2110292686,476.8474359512329
