date,signal,price,cash,position,position_value,total_value,daily_pnl
2023-04-14,0.0,3.886037826538086,2.8327634156448767,268412,1043059.1850967407,1043062.0178601564,0.0
2023-04-17,0.0,3.9699695110321045,2.8327634156448767,268412,1065587.4563951492,1065590.289158565,22528.271298408625
2023-04-18,0.0,4.003541946411133,2.8327634156448767,268412,1074598.700920105,1074601.5336835207,9011.24452495575
2023-04-19,0.0,3.9951491355895996,2.8327634156448767,268412,1072345.9697818756,1072348.8025452914,-2252.73113822937
2023-04-20,0.0,3.978362560272217,2.8327634156448767,268412,1067840.2515277863,1067843.084291202,-4505.7182540893555
2023-04-21,0.0,3.9447896480560303,2.8327634156448767,268412,1058828.8790140152,1058831.711777431,-9011.372513771057
2023-04-24,0.0,3.961576223373413,2.8327634156448767,268412,1063334.5972681046,1063337.4300315203,4505.7182540893555
2023-04-25,0.0,3.986755847930908,2.8327634156448767,268412,1070093.110654831,1070095.9434182467,6758.513386726379
2023-04-26,0.0,3.986755847930908,2.8327634156448767,268412,1070093.110654831,1070095.9434182467,0.0
2023-04-27,0.0,3.986755847930908,2.8327634156448767,268412,1070093.110654831,1070095.9434182467,0.0
2023-04-28,0.0,3.961576223373413,2.8327634156448767,268412,1063334.5972681046,1063337.4300315203,-6758.513386726379
2023-05-04,0.0,4.154619216918945,2.8327634156448767,268412,1115149.653251648,1115152.4860150637,51815.055983543396
2023-05-05,0.0,4.188192367553711,2.8327634156448767,268412,1124161.0897598267,1124163.9225232424,9011.436508178711
2023-05-08,0.0,4.448380470275879,2.8327634156448767,268412,1193998.6987876892,1194001.531551105,69837.60902786255
2023-05-09,0.0,4.423200607299805,2.8327634156448767,268412,1187240.1214065552,1187242.954169971,-6758.577381134033
2023-05-10,0.0,4.221765041351318,2.8327634156448767,268412,1133172.39827919,1133175.2310426058,-54067.72312736511
2023-05-11,0.0,4.196585655212402,2.8327634156448767,268412,1126413.9488868713,1126416.781650287,-6758.449392318726
2023-05-12,0.0,4.1797990798950195,2.8327634156448767,268412,1121908.230632782,1121911.0633961977,-4505.7182540893555
2023-05-15,0.0,4.230157852172852,2.8327634156448767,268412,1135425.1294174194,1135427.9621808352,13516.898784637451
2023-05-16,0.0,4.204978942871094,2.8327634156448767,268412,1128666.808013916,1128669.6407773318,-6758.321403503418
2023-05-17,0.0,4.188192367553711,2.8327634156448767,268412,1124161.0897598267,1124163.9225232424,-4505.7182540893555
2023-05-18,0.0,4.297302722930908,2.8327634156448767,268412,1153447.618467331,1153450.4512307467,29286.528707504272
2023-05-19,-1.0,4.230157852172852,1134292.5370514179,0,0.0,1134292.5370514179,-19157.91417932883
2023-05-22,0.0,4.255337715148926,1134292.5370514179,0,0.0,1134292.5370514179,0.0
2023-05-23,0.0,4.1378326416015625,1134292.5370514179,0,0.0,1134292.5370514179,0.0
2023-05-24,0.0,3.9951491355895996,1134292.5370514179,0,0.0,1134292.5370514179,0.0
2023-05-25,0.0,3.978362560272217,1134292.5370514179,0,0.0,1134292.5370514179,0.0
2023-05-26,0.0,4.028722763061523,1134292.5370514179,0,0.0,1134292.5370514179,0.0
2023-05-29,0.0,4.070687770843506,1134292.5370514179,0,0.0,1134292.5370514179,0.0
2023-05-30,0.0,4.045508861541748,1134292.5370514179,0,0.0,1134292.5370514179,0.0
2023-05-31,0.0,4.053901672363281,1134292.5370514179,0,0.0,1134292.5370514179,0.0
2023-06-01,0.0,4.079081058502197,1134292.5370514179,0,0.0,1134292.5370514179,0.0
2023-06-02,0.0,4.095866680145264,1134292.5370514179,0,0.0,1134292.5370514179,0.0
2023-06-05,0.0,4.163012504577637,1134292.5370514179,0,0.0,1134292.5370514179,0.0
2023-06-06,0.0,4.163012504577637,1134292.5370514179,0,0.0,1134292.5370514179,0.0
2023-06-07,0.0,4.204978942871094,1134292.5370514179,0,0.0,1134292.5370514179,0.0
2023-06-08,0.0,4.27212381362915,1134292.5370514179,0,0.0,1134292.5370514179,0.0
2023-06-09,0.0,4.255337715148926,1134292.5370514179,0,0.0,1134292.5370514179,0.0
2023-06-12,0.0,4.171405792236328,1134292.5370514179,0,0.0,1134292.5370514179,0.0
2023-06-13,0.0,4.196585655212402,1134292.5370514179,0,0.0,1134292.5370514179,0.0
2023-06-14,0.0,4.0874738693237305,1134292.5370514179,0,0.0,1134292.5370514179,0.0
2023-06-15,0.0,4.12104606628418,1134292.5370514179,0,0.0,1134292.5370514179,0.0
2023-06-16,0.0,4.095866680145264,1134292.5370514179,0,0.0,1134292.5370514179,0.0
2023-06-19,0.0,4.053901672363281,1134292.5370514179,0,0.0,1134292.5370514179,0.0
2023-06-20,0.0,4.053901672363281,1134292.5370514179,0,0.0,1134292.5370514179,0.0
2023-06-21,0.0,4.070687770843506,1134292.5370514179,0,0.0,1134292.5370514179,0.0
2023-06-26,0.0,4.003541946411133,1134292.5370514179,0,0.0,1134292.5370514179,0.0
2023-06-27,1.0,4.037115573883057,1.5944111968856305,280685,1133157.7848553658,1133159.3792665626,-1133.157784855226
2023-06-28,0.0,4.045508861541748,1.5944111968856305,280685,1135513.6548018456,1135515.2492130424,2355.8699464797974
2023-06-29,0.0,4.011935710906982,1.5944111968856305,280685,1126090.1750159264,1126091.7694271232,-9423.47978591919
2023-06-30,0.0,4.045508861541748,1.5944111968856305,280685,1135513.6548018456,1135515.2492130424,9423.47978591919
2023-07-03,0.0,4.095866680145264,1.5944111968856305,280685,1149648.3391165733,1149649.9335277702,14134.684314727783
2023-07-04,-1.0,4.053901672363281,1136733.1159275773,0,0.0,1136733.1159275773,-12916.817600192968
2023-07-05,0.0,4.045508861541748,1136733.1159275773,0,0.0,1136733.1159275773,0.0
2023-07-06,0.0,4.003541946411133,1136733.1159275773,0,0.0,1136733.1159275773,0.0
2023-07-07,0.0,3.9951491355895996,1136733.1159275773,0,0.0,1136733.1159275773,0.0
2023-07-10,0.0,4.003541946411133,1136733.1159275773,0,0.0,1136733.1159275773,0.0
2023-07-11,0.0,4.053901672363281,1136733.1159275773,0,0.0,1136733.1159275773,0.0
2023-07-12,0.0,4.037115573883057,1136733.1159275773,0,0.0,1136733.1159275773,0.0
2023-07-13,0.0,4.0874738693237305,1136733.1159275773,0,0.0,1136733.1159275773,0.0
