signal,price,cash,position,position_value,total_value,daily_pnl,returns,cumulative_returns,drawdown
0.0,4.3979997634887695,1048423.639183466,0,0.0,1048423.639183466,0.0,0.0,0.048423639183465816,-0.02547279364710418
0.0,4.394000053405762,1048423.639183466,0,0.0,1048423.639183466,0.0,0.0,0.048423639183465816,-0.02547279364710418
0.0,4.364999771118164,1048423.639183466,0,0.0,1048423.639183466,0.0,0.0,0.048423639183465816,-0.02547279364710418
0.0,4.381999969482422,1048423.639183466,0,0.0,1048423.639183466,0.0,0.0,0.048423639183465816,-0.02547279364710418
0.0,4.36899995803833,1048423.639183466,0,0.0,1048423.639183466,0.0,0.0,0.048423639183465816,-0.02547279364710418
0.0,4.353000164031982,1048423.639183466,0,0.0,1048423.639183466,0.0,0.0,0.048423639183465816,-0.02547279364710418
0.0,4.34499979019165,1048423.639183466,0,0.0,1048423.639183466,0.0,0.0,0.048423639183465816,-0.02547279364710418
0.0,4.329999923706055,1048423.639183466,0,0.0,1048423.639183466,0.0,0.0,0.048423639183465816,-0.02547279364710418
0.0,4.3470001220703125,1048423.639183466,0,0.0,1048423.639183466,0.0,0.0,0.048423639183465816,-0.02547279364710418
0.0,4.329999923706055,1048423.639183466,0,0.0,1048423.639183466,0.0,0.0,0.048423639183465816,-0.02547279364710418
0.0,4.3520002365112305,1048423.639183466,0,0.0,1048423.639183466,0.0,0.0,0.048423639183465816,-0.02547279364710418
0.0,4.335000038146973,1048423.639183466,0,0.0,1048423.639183466,0.0,0.0,0.048423639183465816,-0.02547279364710418
0.0,4.309999942779541,1048423.639183466,0,0.0,1048423.639183466,0.0,0.0,0.048423639183465816,-0.02547279364710418
0.0,4.314000129699707,1048423.639183466,0,0.0,1048423.639183466,0.0,0.0,0.048423639183465816,-0.02547279364710418
0.0,4.300000190734863,1048423.639183466,0,0.0,1048423.639183466,0.0,0.0,0.048423639183465816,-0.02547279364710418
0.0,4.364999771118164,1048423.639183466,0,0.0,1048423.639183466,0.0,0.0,0.048423639183465816,-0.02547279364710418
0.0,4.361999988555908,1048423.639183466,0,0.0,1048423.639183466,0.0,0.0,0.048423639183465816,-0.02547279364710418
0.0,4.375,1048423.639183466,0,0.0,1048423.639183466,0.0,0.0,0.048423639183465816,-0.02547279364710418
0.0,4.323999881744385,1048423.639183466,0,0.0,1048423.639183466,0.0,0.0,0.048423639183465816,-0.02547279364710418
1.0,4.35699987411499,1.421602099086158,240389,1047374.8427386284,1047376.2643407275,-1047.3748427384999,-0.0009989996444130789,0.04737626434072717,-0.026446345979721547
0.0,4.36299991607666,1.421602099086158,240389,1048817.1868257523,1048818.6084278515,1442.3440871239873,0.0013771021324717747,0.04881860842785102,-0.02510566316669449
0.0,4.3379998207092285,1.421602099086158,240389,1042807.4389004707,1042808.8605025698,-6009.747925281641,-0.00573001649378635,0.04280886050256938,-0.030691823796448237
0.0,4.375,1.421602099086158,240389,1051701.875,1051703.2966020992,8894.436099529383,0.008529306219399402,0.051703296602098714,-0.022424297540640584
0.0,4.377999782562256,1.421602099086158,240389,1052422.9897303581,1052424.4113324573,721.1147303581238,0.0006856636588359333,0.05242441133245679,-0.021754009407703084
0.0,4.388000011444092,1.421602099086158,240389,1054826.9347510338,1054828.356353133,2403.945020675659,0.002284197320767234,0.054828356353132435,-0.019519502536940844
0.0,4.36299991607666,1.421602099086158,240389,1048817.1868257523,1048818.6084278515,-6009.747925281525,-0.005697370467038887,0.04881860842785102,-0.02510566316669449
0.0,4.328999996185303,1.421602099086158,240389,1040643.9800829887,1040645.4016850878,-8173.206742763636,-0.007792774343520659,0.04064540168508746,-0.03270279474241269
1.0,4.359000205993652,1.421602099086158,240389,1047855.7005186081,1047857.1221207072,7211.720435619354,0.00693004593489932,0.04785712212070692,-0.025999380677277927
0.0,4.366000175476074,1.421602099086158,240389,1049538.416182518,1049539.8377846172,1682.7156639100285,0.0016058636510523083,0.04953983778461679,-0.024435268486605034
0.0,4.374000072479248,1.421602099086158,240389,1051461.503423214,1051462.9250253132,1923.0872406959534,0.0018323146692127423,0.05146292502531269,-0.022647726918286416
0.0,4.355999946594238,1.421602099086158,240389,1047134.4711618423,1047135.8927639414,-4327.032261371729,-0.004115249485632133,0.04713589276394092,-0.026669775357367382
0.0,4.354000091552734,1.421602099086158,240389,1046653.7280082703,1046655.1496103693,-480.7431535720825,-0.00045910292722672885,0.04665514961036887,-0.02711663411265905
0.0,4.349999904632568,1.421602099086158,240389,1045692.1270747185,1045693.5486768176,-961.6009335517883,-0.00091873711595436,0.045693548676817075,-0.028010458170394333
0.0,4.335000038146973,1.421602099086158,240389,1042086.3241701126,1042087.7457722117,-3605.8029046058655,-0.003448240556871096,0.042087745772211305,-0.03136211192938574
0.0,4.3429999351501465,1.421602099086158,240389,1044009.4114108086,1044010.8330129076,1923.0872406959534,0.0018454177668800753,0.044010833012907424,-0.02957457036106712
0.0,4.348999977111816,1.421602099086158,240389,1045451.7554979324,1045453.1771000315,1442.3440871238708,0.001381541303514533,0.04545317710003127,-0.028233887548040168
0.0,4.357999801635742,1.421602099086158,240389,1047615.2143154144,1047616.6359175135,2163.4588174819946,0.002069398099189046,0.047616635917513195,-0.026222916602075715
0.0,4.363999843597412,1.421602099086158,240389,1049057.5584025383,1049058.9800046375,1442.3440871239873,0.0013767861617248744,0.049058980004637265,-0.024882233789048653
0.0,4.367000102996826,1.421602099086158,240389,1049778.787759304,1049780.2093614032,721.2293567657471,0.0006875012468436914,0.04978020936140304,-0.0242118391089592
0.0,4.364999771118164,1.421602099086158,240389,1049297.9299793243,1049299.3515814235,-480.8577799797058,-0.00045805567269385783,0.04929935158142329,-0.02465880441140282
0.0,4.359000205993652,1.421602099086158,240389,1047855.7005186081,1047857.1221207072,-1442.229460716364,-0.0013744690288264305,0.04785712212070692,-0.025999380677277927
0.0,4.369999885559082,1.421602099086158,240389,1050499.9024896622,1050501.3240917614,2644.2019710541936,0.0025234375137925813,0.05050132409176111,-0.023541550976021702
0.0,4.374000072479248,1.421602099086158,240389,1051461.503423214,1051462.9250253132,961.6009335517883,0.0009153733665050456,0.05146292502531291,-0.022647726918286416
0.0,4.370999813079834,1.421602099086158,240389,1050740.2740664482,1050741.6956685474,-721.2293567657471,-0.0006859294223315882,0.05074169566854714,-0.02331812159837587
0.0,4.4079999923706055,1.421602099086158,240389,1059634.7101659775,1059636.1317680767,8894.436099529266,0.008464912105605515,0.05963613176807625,-0.015050595342568323
-1.0,4.388000011444092,1053773.5294183819,0,0.0,1053773.5294183819,-5862.602349694818,-0.005532656139152881,0.05377352941838143,-0.020499981713001197
0.0,4.406000137329102,1053773.5294183819,0,0.0,1053773.5294183819,0.0,0.0,0.05377352941838143,-0.020499981713001197
0.0,4.421999931335449,1053773.5294183819,0,0.0,1053773.5294183819,0.0,0.0,0.05377352941838143,-0.020499981713001197
0.0,4.4730000495910645,1053773.5294183819,0,0.0,1053773.5294183819,0.0,0.0,0.05377352941838143,-0.020499981713001197
0.0,4.46999979019165,1053773.5294183819,0,0.0,1053773.5294183819,0.0,0.0,0.05377352941838143,-0.020499981713001197
0.0,4.453000068664551,1053773.5294183819,0,0.0,1053773.5294183819,0.0,0.0,0.05377352941838143,-0.020499981713001197
0.0,4.441999912261963,1053773.5294183819,0,0.0,1053773.5294183819,0.0,0.0,0.05377352941838143,-0.020499981713001197
0.0,4.420000076293945,1053773.5294183819,0,0.0,1053773.5294183819,0.0,0.0,0.05377352941838143,-0.020499981713001197
0.0,4.439000129699707,1053773.5294183819,0,0.0,1053773.5294183819,0.0,0.0,0.05377352941838143,-0.020499981713001197
